Plant_specie;Herbivore_specie;Plant_Tribe;Herbivore_Family;N;Loc
Eremanthus incanus (Less.) Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;GMOG
Lychnophora diamantinana Coile & Jones;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora pinaster Mart.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;OUBR
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;CABR
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;OUBR
Lychnophora diamantinana Coile & Jones;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;3;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora indet.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;4;DIAM
Eremanthus incanus (Less.) Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;GMOG
Eremanthus glomerulatus Less.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;CIPO
Lychnophora pohlii Sch. Bip.;Acrotaeniini gen.nov.1 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;4;DIAM
Lychnophora pseudovillosissima;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;10;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora villosissima Mart.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;10;DIAM
Lychnophora pseudovillosissima;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;DIAM
Lychnophora candelabrum Sch. Bip.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;1;CABR
Lychnophora phylicifolia DC.;Acrotaeniini gen.nov.2 sp.01;Vernonieae;Tephritidae;3;CABR
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;26;DIAM
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;24;GMOG
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;291;CABR
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;30;DIAM
Wunderlichia mirabilis Riedel ex Baker;Acrotaeniini gen.nov.3 sp.01;Wunderlichieae;Tephritidae;31;CABR
Pluchea laxiflora Hook. & Arn. ex Baker;Acinia ica;Inuleae;Tephritidae;30;OUBR
Praxelis clematidea (Griseb.) R.M.King & H.Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;OUBR
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;7;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;56;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CIPO
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;4;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CIPO
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;2;CIPO
Vernonanthura mariana (Mart. ex Baker) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;1;CIPO
Proteopsis argentea Mart. & Zucc. ex Sch. Bip.;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;CABR
Trichogonia salviifolia Gardner;Adaina bipunctata;Eupatorieae;Pterophoridae;5;CABR
Lychnophora phylicifolia DC.;Adaina bipunctata;Vernonieae;Pterophoridae;1;CABR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Moquiniastrum hatschbachii (Cabrera) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;1;CIPO
Chromolaena laevigata (Lam.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Koanophyllon adamantium (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Moquiniastrum paniculatum (Less.) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;2;DIAM
Moquiniastrum floribundum (Cabrera) G. Sancho;Adaina bipunctata;Gochnatieae;Pterophoridae;1;DIAM
Vernonanthura canaminina (Gleason) H. Rob.;Adaina bipunctata;Vernonieae;Pterophoridae;1;DIAM
Koanophyllon thysanolepis (B.L. Rob.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;2;DIAM
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;7;GMOG
Mikania micrantha Kunth;Adaina bipunctata;Eupatorieae;Pterophoridae;1;CABR
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;7;GMOG
Trichogonia villosa (Spreng.) Sch.Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;4;DIAM
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;11;CABR
Trichogonia salviifolia Gardner;Adaina bipunctata;Eupatorieae;Pterophoridae;23;CABR
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;1;GMOG
Trichogonia hirtiflora (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;1;GMOG
Ageratum fastigiatum (Gardner) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;2;GMOG
Piptolepis sp.01;Adaina bipunctata;Vernonieae;Pterophoridae;1;GMOG
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;8;CABR
Symphyopappus cuneatus (DC.) Sch. Bip. ex Baker;Adaina bipunctata;Eupatorieae;Pterophoridae;3;OUBR
Chromolaena squalida (DC.) R.M. King & H. Rob.;Adaina bipunctata;Eupatorieae;Pterophoridae;5;DIAM
Baccharis perulata Kuntze;Adaina bipunctata;Astereae;Pterophoridae;1;OUBR
